2017-05-21T01:04:27.594Z INFO    ConnectionProfileManager :constructor()             Created a new ConnectionProfileManager {"0":{"fs":{"constants":{"O_RDONLY":0,"O_WRONLY":1,"O_RDWR":2,"S_IFMT":61440,"S_IFREG":32768,"S_IFDIR":16384,"S_IFCHR":8192,"S_IFBLK":24576,"S_IFIFO":4096,"S_IFLNK":40960,"S_IFSOCK":49152,"O_CREAT":64,"O_EXCL":128,"O_NOCTTY":256,"O_TRUNC":512,"O_APPEND":1024,"O_DIRECTORY":65536,"O_NOATIME":262144,"O_NOFOLLOW":131072,"O_SYNC":4096,"O_DIRECT":16384,"O_NONBLOCK":2048,"S_IRWXU":448,"S_IRUSR":256,"S_IWUSR":128,"S_IXUSR":64,"S_IRWXG":56,"S_IRGRP":32,"S_IWGRP":16,"S_IXGRP":8,"S_IRWXO":7,"S_IROTH":4,"S_IWOTH":2,"S_IXOTH":1,"F_OK":0,"R_OK":4,"W_OK":2,"X_OK":1},"F_OK":0,"R_OK":4,"W_OK":2,"X_OK":1}}}$
2017-05-21T01:04:27.595Z INFO    ConnectionProfileManager :connect()                 Connecting using defaultProfile {"0":"taxtime-quick-biz-loans"}$
2017-05-21T01:04:27.601Z INFO    FSConnectionProfileStore :load()                    Loaded connection profile defaultProfile {"0":"{\n    \"type\": \"hlf\",\n    \"membershipServicesURL\": \"grpc://localhost:7054\",\n    \"peerURL\": \"grpc://localhost:7051\",\n    \"eventHubURL\": \"grpc://localhost:7053\",\n    \"keyValStore\": \"/home/gunungmerapi/.composer-credentials\",\n    \"deployWaitTime\": \"300\",\n    \"invokeWaitTime\": \"100\",\n    \"networks\": {\n        \"taxtime-quick-biz-loans\": \"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6\"\n    }\n}"}$
2017-05-21T01:04:27.601Z INFO    ConnectionProfileManager :getConnectionManager()    Looking up a connection manager for profile {"0":"defaultProfile"}$
2017-05-21T01:04:27.603Z INFO    FSConnectionProfileStore :load()                    Loaded connection profile defaultProfile {"0":"{\n    \"type\": \"hlf\",\n    \"membershipServicesURL\": \"grpc://localhost:7054\",\n    \"peerURL\": \"grpc://localhost:7051\",\n    \"eventHubURL\": \"grpc://localhost:7053\",\n    \"keyValStore\": \"/home/gunungmerapi/.composer-credentials\",\n    \"deployWaitTime\": \"300\",\n    \"invokeWaitTime\": \"100\",\n    \"networks\": {\n        \"taxtime-quick-biz-loans\": \"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6\"\n    }\n}"}$
2017-05-21T01:04:27.830Z INFO    ConnectionProfileManager :getConnectionManager()    Using this connection manager  {"0":{"connectionProfileManager":{"connectionProfileStore":{"fs":{"constants":{"O_RDONLY":0,"O_WRONLY":1,"O_RDWR":2,"S_IFMT":61440,"S_IFREG":32768,"S_IFDIR":16384,"S_IFCHR":8192,"S_IFBLK":24576,"S_IFIFO":4096,"S_IFLNK":40960,"S_IFSOCK":49152,"O_CREAT":64,"O_EXCL":128,"O_NOCTTY":256,"O_TRUNC":512,"O_APPEND":1024,"O_DIRECTORY":65536,"O_NOATIME":262144,"O_NOFOLLOW":131072,"O_SYNC":4096,"O_DIRECT":16384,"O_NONBLOCK":2048,"S_IRWXU":448,"S_IRUSR":256,"S_IWUSR":128,"S_IXUSR":64,"S_IRWXG":56,"S_IRGRP":32,"S_IWGRP":16,"S_IXGRP":8,"S_IRWXO":7,"S_IROTH":4,"S_IWOTH":2,"S_IXOTH":1,"F_OK":0,"R_OK":4,"W_OK":2,"X_OK":1},"F_OK":0,"R_OK":4,"W_OK":2,"X_OK":1}}}}}$
2017-05-21T01:04:27.831Z INFO    HFCConnectionManager     :connect()                 Creating new HFC chain for taxtime-quick-biz-loans@defaultProfile {"0":"{\"type\":\"hlf\",\"membershipServicesURL\":\"grpc://localhost:7054\",\"peerURL\":\"grpc://localhost:7051\",\"eventHubURL\":\"grpc://localhost:7053\",\"keyValStore\":\"/home/gunungmerapi/.composer-credentials\",\"deployWaitTime\":\"300\",\"invokeWaitTime\":\"100\",\"networks\":{\"taxtime-quick-biz-loans\":\"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6\"}}"}$
2017-05-21T01:04:27.898Z INFO    HFCConnection            :constructor()             Creating connection {"0":"taxtime-quick-biz-loans@defaultProfile"}$
2017-05-21T01:04:27.898Z INFO    HFCConnection            :login()                   Login attempt {"0":"taxtime-quick-biz-loans"}$
2017-05-21T01:04:27.904Z INFO    HFCConnection            :login()                   Successful login {"0":"taxtime-quick-biz-loans@defaultProfile"}$
2017-05-21T01:04:27.905Z INFO    FSConnectionProfileStore :load()                    Loaded connection profile defaultProfile {"0":"{\n    \"type\": \"hlf\",\n    \"membershipServicesURL\": \"grpc://localhost:7054\",\n    \"peerURL\": \"grpc://localhost:7051\",\n    \"eventHubURL\": \"grpc://localhost:7053\",\n    \"keyValStore\": \"/home/gunungmerapi/.composer-credentials\",\n    \"deployWaitTime\": \"300\",\n    \"invokeWaitTime\": \"100\",\n    \"networks\": {\n        \"taxtime-quick-biz-loans\": \"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6\"\n    }\n}"}$
2017-05-21T01:04:27.906Z INFO    HFCConnection            :login()                   Loaded profile {"0":"{\"type\":\"hlf\",\"membershipServicesURL\":\"grpc://localhost:7054\",\"peerURL\":\"grpc://localhost:7051\",\"eventHubURL\":\"grpc://localhost:7053\",\"keyValStore\":\"/home/gunungmerapi/.composer-credentials\",\"deployWaitTime\":\"300\",\"invokeWaitTime\":\"100\",\"networks\":{\"taxtime-quick-biz-loans\":\"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6\"}}"}$
2017-05-21T01:04:27.906Z INFO    HFCConnection            :login()                   Loaded chaincode id for network taxtime-quick-biz-loans {"0":"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6"}$
2017-05-21T01:04:27.907Z INFO    HFCUtil                  :queryChainCode()          enrolledMember {"name":"admin","enrollment":{"key":"40afd29f5b133fdb5054bdf02d06e670bd5db08d6b6576119e1c9f14cbe399e3","cert":"308201b030820157a003020102020101300a06082a8648ce3d0403033031310b300906035504061302555331143012060355040a130b48797065726c6564676572310c300a06035504031303656361301e170d3137303532313031303330385a170d3137303831393031303330385a3041310b300906035504061302555331143012060355040a130b48797065726c6564676572311c301a06035504030c1361646d696e5c696e737469747574696f6e5f613059301306072a8648ce3d020106082a8648ce3d03010703420004e88caf98249d895973656f6bb8847965a79d60761882ef2c67db61fccdb4382da4da4352e3106ac84d2e7a44d69df853576f15e083bd0f56fc1aea1227fe9e79a350304e300e0603551d0f0101ff040403020780300c0603551d130101ff04023000300d0603551d0e0406040401020304300f0603551d2304083006800401020304300e06065103040506070101ff040131300a06082a8648ce3d0403030347003044022015b75b3e654d6f9a43125f054f3c2916adeae52ff7541b2b19b4f7d4daef66b7022005b60d2d10ca9122aa4c9b00588b44ca5f04a271f32f7c74ca6db405ef328f97","chainKey":"2d2d2d2d2d424547494e204543445341205055424c4943204b45592d2d2d2d2d0a4d466b77457759484b6f5a497a6a3043415159494b6f5a497a6a3044415163445167414548777a5954774f4157475a6e617750516e684e426a2f454673666e460a4e305a48595a477451682f51494664597737456857522b415a4577367647756b617559665637486857584e54596c746332396f66467345362b413d3d0a2d2d2d2d2d454e44204543445341205055424c4943204b45592d2d2d2d2d0a","queryStateKey":{"type":"Buffer","data":[26,141,192,192,53,203,13,83,216,79,220,9,144,87,138,248,233,51,203,92,72,116,90,157]}}} {"0":{"chaincodeID":"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6","fcn":"ping","args":[],"attrs":["userID"]}}$
2017-05-21T01:04:29.171Z INFO    HFCUtil                  :queryChainCode()          onComplete {"name":"admin","enrollment":{"key":"40afd29f5b133fdb5054bdf02d06e670bd5db08d6b6576119e1c9f14cbe399e3","cert":"308201b030820157a003020102020101300a06082a8648ce3d0403033031310b300906035504061302555331143012060355040a130b48797065726c6564676572310c300a06035504031303656361301e170d3137303532313031303330385a170d3137303831393031303330385a3041310b300906035504061302555331143012060355040a130b48797065726c6564676572311c301a06035504030c1361646d696e5c696e737469747574696f6e5f613059301306072a8648ce3d020106082a8648ce3d03010703420004e88caf98249d895973656f6bb8847965a79d60761882ef2c67db61fccdb4382da4da4352e3106ac84d2e7a44d69df853576f15e083bd0f56fc1aea1227fe9e79a350304e300e0603551d0f0101ff040403020780300c0603551d130101ff04023000300d0603551d0e0406040401020304300f0603551d2304083006800401020304300e06065103040506070101ff040131300a06082a8648ce3d0403030347003044022015b75b3e654d6f9a43125f054f3c2916adeae52ff7541b2b19b4f7d4daef66b7022005b60d2d10ca9122aa4c9b00588b44ca5f04a271f32f7c74ca6db405ef328f97","chainKey":"2d2d2d2d2d424547494e204543445341205055424c4943204b45592d2d2d2d2d0a4d466b77457759484b6f5a497a6a3043415159494b6f5a497a6a3044415163445167414548777a5954774f4157475a6e617750516e684e426a2f454673666e460a4e305a48595a477451682f51494664597737456857522b415a4577367647756b617559665637486857584e54596c746332396f66467345362b413d3d0a2d2d2d2d2d454e44204543445341205055424c4943204b45592d2d2d2d2d0a","queryStateKey":{"type":"Buffer","data":[26,141,192,192,53,203,13,83,216,79,220,9,144,87,138,248,233,51,203,92,72,116,90,157]}}} {"0":{"chaincodeID":"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6","fcn":"ping","args":[],"attrs":["userID"]}}$
2017-05-21T01:04:29.175Z INFO    HFCConnection            :ping()                    Successful ping {"0":"0.7.2","1":"0.7.2","2":"^0.7.2"}$
2017-05-21T01:04:29.176Z INFO    HFCConnection            :queryChainCode()          Function getBusinessNetwork {"0":[]}$
2017-05-21T01:04:29.176Z INFO    HFCUtil                  :queryChainCode()          enrolledMember {"name":"admin","enrollment":{"key":"40afd29f5b133fdb5054bdf02d06e670bd5db08d6b6576119e1c9f14cbe399e3","cert":"308201b030820157a003020102020101300a06082a8648ce3d0403033031310b300906035504061302555331143012060355040a130b48797065726c6564676572310c300a06035504031303656361301e170d3137303532313031303330385a170d3137303831393031303330385a3041310b300906035504061302555331143012060355040a130b48797065726c6564676572311c301a06035504030c1361646d696e5c696e737469747574696f6e5f613059301306072a8648ce3d020106082a8648ce3d03010703420004e88caf98249d895973656f6bb8847965a79d60761882ef2c67db61fccdb4382da4da4352e3106ac84d2e7a44d69df853576f15e083bd0f56fc1aea1227fe9e79a350304e300e0603551d0f0101ff040403020780300c0603551d130101ff04023000300d0603551d0e0406040401020304300f0603551d2304083006800401020304300e06065103040506070101ff040131300a06082a8648ce3d0403030347003044022015b75b3e654d6f9a43125f054f3c2916adeae52ff7541b2b19b4f7d4daef66b7022005b60d2d10ca9122aa4c9b00588b44ca5f04a271f32f7c74ca6db405ef328f97","chainKey":"2d2d2d2d2d424547494e204543445341205055424c4943204b45592d2d2d2d2d0a4d466b77457759484b6f5a497a6a3043415159494b6f5a497a6a3044415163445167414548777a5954774f4157475a6e617750516e684e426a2f454673666e460a4e305a48595a477451682f51494664597737456857522b415a4577367647756b617559665637486857584e54596c746332396f66467345362b413d3d0a2d2d2d2d2d454e44204543445341205055424c4943204b45592d2d2d2d2d0a","queryStateKey":{"type":"Buffer","data":[26,141,192,192,53,203,13,83,216,79,220,9,144,87,138,248,233,51,203,92,72,116,90,157]}}} {"0":{"chaincodeID":"a0a0765ac31e4513a9d4b1bc16e7f9c8a4f85720e965c607af1da1cd4e41bbb6","fcn":"getBusinessNetwork","args":[],"attrs":["userID"]}}$
